;ID;oldID;fecha;intensidad;ocupacion;vmed;periodo_integracion;KM;densidad;Hora
2288210;6672;PM10941;2015-08-04 04:45;280.0;0.0;91.0;15;9.4;3.076923076923077;4.45
2288214;6676;PM10981;2015-08-04 04:45;420.0;1.0;87.0;15;9.8;4.827586206896552;4.45
2288215;6693;PM12241;2015-08-04 04:45;108.0;0.0;51.0;15;22.4;2.1176470588235294;4.45
2288216;6694;PM12331;2015-08-04 04:45;117.0;4.0;62.0;15;23.3;1.8870967741935485;4.45
2288218;6695;PM12391;2015-08-04 04:45;144.0;1.0;64.0;15;23.9;2.25;4.45
2288219;6696;PM12471;2015-08-04 04:45;119.0;0.0;84.0;15;24.7;1.4166666666666667;4.45
2288223;6699;PM12641;2015-08-04 04:45;68.0;0.0;63.0;15;26.4;1.0793650793650793;4.45
2288224;6700;PM12721;2015-08-04 04:45;76.0;0.0;65.0;15;27.2;1.1692307692307693;4.45
2288225;3801;PM12781;2015-08-04 04:45;79.0;0.0;80.0;15;27.8;0.9875;4.45
2288226;6914;PM12851;2015-08-04 04:45;80.0;4.0;55.0;15;28.5;1.4545454545454546;4.45
2288227;6702;PM12921;2015-08-04 04:45;59.0;1.0;31.0;15;29.2;1.903225806451613;4.45
2288228;6704;PM13011;2015-08-04 04:45;71.0;1.0;48.0;15;30.1;1.4791666666666667;4.45
2288230;6706;PM13041;2015-08-04 04:45;83.0;1.0;48.0;15;30.4;1.7291666666666667;4.45
2288232;6708;PM13101;2015-08-04 04:45;84.0;1.0;68.0;15;31.0;1.2352941176470589;4.45
2288235;6711;PM13181;2015-08-04 04:45;75.0;1.0;41.0;15;31.8;1.829268292682927;4.45
2288237;7130;PM13211;2015-08-04 04:45;0.0;0.0;0.0;15;32.1;;4.45
2288238;7013;PM13221;2015-08-04 04:45;89.0;2.0;60.0;15;32.2;1.4833333333333334;4.45
2289380;6646;PM10211;2015-08-04 05:00;211.0;1.0;89.0;15;2.1;2.3707865168539324;5.0
2289384;3818;PM10501;2015-08-04 05:00;228.0;0.0;76.0;15;5.0;3.0;5.0
2289389;3816;PM10901;2015-08-04 05:00;224.0;0.0;82.0;15;9.0;2.731707317073171;5.0
2289394;6687;PM11301;2015-08-04 05:00;116.0;0.0;79.0;15;13.0;1.4683544303797469;5.0
2289395;6691;PM12121;2015-08-04 05:00;71.0;0.0;61.0;15;21.2;1.1639344262295082;5.0
2289396;6694;PM12331;2015-08-04 05:00;71.0;0.0;52.0;15;23.3;1.3653846153846154;5.0
2289397;6698;PM12571;2015-08-04 05:00;36.0;0.0;43.0;15;25.7;0.8372093023255814;5.0
2289399;3801;PM12781;2015-08-04 05:00;76.0;0.0;79.0;15;27.8;0.9620253164556962;5.0
2289400;3510;PM12961;2015-08-04 05:00;124.0;1.0;44.0;15;29.6;2.8181818181818183;5.0
2289401;6704;PM13011;2015-08-04 05:00;115.0;2.0;48.0;15;30.1;2.3958333333333335;5.0
2289412;6654;PM10401;2015-08-04 05:00;240.0;1.0;84.0;15;4.0;2.857142857142857;5.0
2289418;6702;PM12921;2015-08-04 05:00;112.0;2.0;48.0;15;29.2;2.3333333333333335;5.0
2289419;7013;PM13221;2015-08-04 05:00;32.0;1.0;15.0;15;32.2;2.1333333333333333;5.0
2289431;6642;PM10091;2015-08-04 05:00;0.0;0.0;0.0;15;0.9;;5.0
2289434;7130;PM13211;2015-08-04 05:00;0.0;0.0;0.0;15;32.1;;5.0
2290281;6639;PM10001;2015-08-04 05:00;389.0;3.0;73.0;15;0.0;5.328767123287672;5.0
2290283;6641;PM10021;2015-08-04 05:00;0.0;0.0;0.0;15;0.2;;5.0
2290284;6644;PM10141;2015-08-04 05:00;221.0;1.0;83.0;15;1.4;2.6626506024096384;5.0
2290286;6648;PM10241;2015-08-04 05:00;204.0;1.0;100.0;15;2.4;2.04;5.0
2290288;6650;PM10341;2015-08-04 05:00;212.0;0.0;88.0;15;3.4;2.409090909090909;5.0
2290291;6656;PM10441;2015-08-04 05:00;228.0;1.0;87.0;15;4.4;2.6206896551724137;5.0
2290294;6661;PM10471;2015-08-04 05:00;237.0;1.0;84.0;15;4.7;2.8214285714285716;5.0
2290298;3820;PM10561;2015-08-04 05:00;272.0;1.0;83.0;15;5.6;3.2771084337349397;5.0
2290307;6672;PM10941;2015-08-04 05:00;232.0;0.0;82.0;15;9.4;2.8292682926829267;5.0
2290309;6676;PM10981;2015-08-04 05:00;368.0;1.0;88.0;15;9.8;4.181818181818182;5.0
